10
[3233, 3, 3, 1037619.186, 18.138, 'up', 'ok', 30]
[3351, 3, 3, 132.161, 1975229.739, 'ok', 'up', 28]
[3351, 3, 3, 1975229.739, 7.63, 'up', 'ok', 29]
[3417, 3, 3, 3058.257, 1548828.907, 'ok', 'up', 27]
[3417, 3, 3, 1548828.907, 8.969, 'up', 'ok', 28]
[3425, 3, 3, 142.795, 2036277.246, 'ok', 'up', 21]
[3425, 3, 19, 2036277.246, 0.002, 'up', 'ok', 22]
[3459, 0, 1, 0.02, 0.17, 'up', 'ok', 0]
[3459, 3, 3, 154.939, 1833350.42, 'ok', 'up', 30]
[3459, 3, 3, 1833350.42, 20.607, 'up', 'ok', 31]
[3512, 3, 3, 16.046, 1050566.936, 'ok', 'up', 23]
[3512, 3, 3, 1050566.936, 7.191, 'up', 'ok', 24]
[3541, 3, 3, 210.713, 763159.297, 'ok', 'up', 9]
[3541, 3, 3, 763159.297, 83.472, 'up', 'ok', 10]
[3603, 20, 20, 37.21, 110606.955, 'ok', 'up', 2]
[3603, 20, 18, 110606.955, 46.014, 'up', 'ok', 3]
[3606, 9, 9, 150.072, 2120839.44, 'ok', 'up', 19]
[3606, 9, 19, 2120839.44, 0.023, 'up', 'ok', 20]
[3624, 3, 3, 156.916, 2096815.835, 'ok', 'up', 17]
[3624, 3, 3, 2096815.835, 10.324, 'up', 'ok', 18]
[3659, 11, 21, 430132.478, 4448.115, 'ok', 'up', 18]
[3659, 21, 18, 4448.115, 0.0, 'up', 'ok', 19]
[3661, 9, 9, 262.767, 1628489.664, 'ok', 'up', 24]
[3661, 9, 5, 1628489.664, 214.258, 'up', 'ok', 25]
[3661, 9, 16, 146.31, 581360.978, 'ok', 'up', 43]
[3661, 16, 19, 581360.978, 0.0, 'up', 'ok', 44]
[3665, 3, 3, 42.957, 2179622.472, 'ok', 'up', 32]
[3665, 3, 3, 2179622.472, 8.795, 'up', 'ok', 33]
[3708, 3, 3, 185.775, 2171410.79, 'ok', 'up', 25]
[3708, 3, 3, 2171410.79, 89.624, 'up', 'ok', 26]
[3711, 9, 9, 191.679, 1797509.845, 'ok', 'up', 59]
[3711, 9, 9, 1797509.845, 73.672, 'up', 'ok', 60]
[3733, 9, 9, 141.291, 1903203.175, 'ok', 'up', 29]
[3733, 9, 9, 1903203.175, 206.613, 'up', 'ok', 30]
[3744, 3, 3, 154.735, 1247110.245, 'ok', 'up', 23]
[3744, 3, 3, 1247110.245, 33.9, 'up', 'ok', 24]
[3744, 3, 3, 33.9, 825141.287, 'ok', 'up', 25]
[3744, 3, 19, 825141.287, 0.002, 'up', 'ok', 26]
[3762, 3, 3, 168.262, 2066008.651, 'ok', 'up', 24]
[3762, 3, 19, 2066008.651, 0.002, 'up', 'ok', 25]
[3800, 3, 3, 118.869, 1445118.594, 'ok', 'up', 25]
[3800, 3, 3, 1445118.594, 11.086, 'up', 'ok', 26]
[3810, 3, 3, 99.486, 2322470.984, 'ok', 'up', 19]
[3810, 3, 19, 2322470.984, 0.002, 'up', 'ok', 20]
[3816, 3, 3, 145.079, 1647984.152, 'ok', 'up', 17]
[3816, 3, 3, 1647984.152, 599.328, 'up', 'ok', 18]
